"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10177","Login with radiobutton select","","2026-09-08","passed","2026-09-08","","LoginPage.spec.js","",""
"","4658","Login","","2026-09-08","passed","2026-09-08","","WebApiPart2.spec.js","",""
"","22897","Security Test using intercept","","2026-09-08","passed","2026-09-08","","NetworkTest2.spec.js","",""
"","14494","Add Items to Cart","","2026-09-08","passed","2026-09-08","","ClientApp.spec.js","",""
"","13599","@smoke Add Items to Cart for ADIDAS ORIGINAL","","2026-09-08","passed","2026-09-08","","ClientAppPO.spec.js","",""
"","9297","Login","","2026-09-08","passed","2026-09-08","","ClientApp.spec.js","",""
"","17335","Empty Order List","","2026-09-08","passed","2026-09-08","","NetworkTest.spec.js","",""
"","12578","Fixtures Test","","2026-09-08","passed","2026-09-08","","FixturesDemo.spec.js","",""
"","12827","Sample test with screenshot and visual comparison","","2026-09-08","passed","2026-09-08","","MoreValidations.spec.js","",""
"","22975","Other validations","","2026-09-08","passed","2026-09-08","","MoreValidations.spec.js","",""
"","14857","Browser Context Playwright Test","","2026-09-08","passed","2026-09-08","","UIBasicstest.spec.js","",""
"","2827","Page Context Playwright Test","","2026-09-08","passed","2026-09-08","","UIBasicstest.spec.js","",""
"","12705","@Child window test","","2026-09-08","passed","2026-09-08","","LoginPage.spec.js","",""
"","13911","@web @smoke Add Items to Cart Using Custom Test","","2026-09-08","passed","2026-09-08","","ClientAppPO.spec.js","",""
"","6591","Playwright Special Locators Test 1","","2026-09-08","passed","2026-09-08","","PlaywrightSpecialLocators.spec.js","",""
"","19295","Banner Not Visible Test","","2026-09-08","passed","2026-09-08","","BannerVisibilityUsingAPIMocking.spec.js","",""
"","12449","Add Items to Cart","","2026-09-08","passed","2026-09-08","","WebAPIPart1.spec.js","",""
"","40266","Register","","2026-09-08","broken","2026-09-08","","Register.spec.js","",""
"","10199","Login","","2026-09-08","passed","2026-09-08","","ClientAppOtherWay.spec.js","",""
"","15661","Book Event","","2026-09-08","failed","2026-09-08","","EventBooking.spec.js","",""
"","5662","Upload download excel validation","","2026-09-08","passed","2026-09-08","","upload-download.spec.js","",""
"","11896","Add Items to Cart","","2026-09-08","passed","2026-09-08","","ClientAppOtherWay.spec.js","",""
"","25148","Banner Visibility Test","","2026-09-08","passed","2026-09-08","","BannerVisibilityUsingAPIMocking.spec.js","",""
"","17212","@smoke Add Items to Cart for ZARA COAT 3","","2026-09-08","passed","2026-09-08","","ClientAppPO.spec.js","",""
